TAZ,DISTRICT,SD,COUNTY,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,AGE0519,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,OPRKCST,PRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,w_parking,w_terminal,w_employment
21,1,1,1,45428,169280,20134.85672,18689.73699,821.1722507,28591,399502.6984794086,71508.4833352672,110661.33506402202,88288.27693330498,5188.346733498813,63118.5865362483,60737.66987706727,676.6090735656599,254.9315233943886,4,10539.375,7587.911076,4380.402924,3,29.989317674179137,1.0,1.0,1.0
22,1,1,1,28400,107443,10659.61549,9809.352757,468.1597293,17909,270323.12273286737,42710.7294575537,79741.81191860298,61358.54383581062,3509.28759289722,31896.724767441192,51106.025160561665,434.96297596313985,163.8845506429785,3,5385.776,2825.46286,2339.91714,1,36.882958675824554,1.0,1.0,1.0
23,1,1,1,36993,147241,12590.49396,11102.36355,841.9175292,21282,352958.7471896133,56116.20806242108,103059.67824740773,84708.80358854981,4583.669486722676,41998.07413099611,62492.31367351588,169.15226843010993,63.73288083311916,0,5723.592,4799.259283,3786.177717,1,26.947355272644327,1.0,1.0,1.0
24,1,1,1,39201,144608,178902.0432,157588.964,3745.66546,27226,321110.6125580738,60365.14550182125,64538.49828537441,71924.19894242579,8665.240902461597,43990.26970296392,71627.25922302679,471.2098905493449,177.54159667177487,4,7476.842,1975.06512,2842.16688,1,30.650971486695276,1.0,1.0,1.0
25,1,1,1,16728,60342,106832.6344,73104.24936,455.6645902,14016,168834.52554627976,23803.767687821295,41193.63743662429,42208.63138656994,2699.4519945363227,23128.904689187213,35800.13235154071,0.0,0.0,5,4199.727,1332.0753,1342.7747,1,23.92133014481432,1.0,1.0,1.0
26,1,1,1,21225,91372,5093.82247,4303.42027,478.2175104,7910,281963.159733308,40319.01499039452,115320.58920659171,57233.78118815912,4508.0848308756595,28193.076630937358,36388.612886349634,1061.347566459448,254.9315233943886,1,2828.178,3154.95075,2228.92425,2,24.139996363262554,1.0,1.0,1.0
27,1,1,1,22228,93145,6338.490355,5414.222477,323.5064639,12036,261463.52128679916,41830.70810733486,102751.9407200306,57779.070491055456,4178.751687542228,24834.95834973417,30088.091931101855,732.9157732188271,242.82227590004445,3,4487.62,4718.623305,2807.091695,2,18.051273242672856,1.0,1.0,1.0
28,1,1,1,40127,151334,15883.9094,14745.97792,646.9261531,26498,363902.32557546353,60402.93782974476,106984.68144746355,89152.1015715566,4729.439894427638,48034.04879077933,54599.11604149167,1413.392763746993,482.54895488596424,4,9094.694,5258.02368,3902.29632,1,26.635807325724954,1.0,1.0,1.0
29,1,1,1,43036,154880,121005.8359,98189.14636,2438.60149,30928,360976.11961338617,62805.45010488209,71470.69100734369,66055.59030630383,6133.154931586526,68220.55080592196,86290.6824573481,0.0,0.0,3,9460.772,4151.83968,3608.60832,2,19.67473940313111,1.0,1.0,1.0
30,1,1,1,43699,161575,133954.1379,87773.58612,2091.086277,34113,392122.3967263463,62735.26435302415,98027.89972959203,66660.26755307996,7056.367513717948,66660.26755307996,90982.33002385222,0.0,0.0,4,11987.397,4928.87808,4697.83692,1,33.41417004894743,1.0,1.0,1.0
31,1,1,1,16850,74090,4828.92591,3604.788,836.8977,7332,220491.23891372685,32852.33077350705,86652.40902461596,54680.099601327754,3525.4843048644375,18960.950809623133,23819.964399788514,396.4259512025273,91.04697261210823,0,2431.744,3281.382456,2536.671544,1,20.728049352700882,1.0,1.0,1.0
32,1,1,1,39988,144541,609905.7965,361805.1153,11289.05496,29944,372281.4245665043,60305.757557941455,70731.04116084073,76686.03226078786,11537.457824648243,66260.74865788859,86760.38710439742,0.0,0.0,5,8106.196,2563.562484,3033.735516,1,28.682975528804583,1.0,1.0,1.0
